,time_minutes,total_time(minutes)
0,30.0,180.0
1,45.0,180.0
2,40.0,120.0
3,15.0,120.0
4,35.0,600.0
5,20.0,360.0
6,23.0,60.0
7,25.0,60.0
8,50.0,600.0
9,30.0,120.0
10,50.0,180.0
11,21.0,240.0
12,40.0,360.0
13,50.0,180.0
14,50.0,120.0
15,50.0,180.0
16,50.0,60.0
17,10.0,60.0
18,20.0,60.0
19,20.0,60.0
20,30.0,60.0
21,10.0,60.0
22,30.0,60.0
23,15.0,60.0
24,26.0,60.0
25,30.0,60.0
26,25.0,60.0
27,30.0,60.0
28,30.0,180.0
29,40.0,180.0
30,40.0,60.0
31,40.0,60.0
0,21.0,196.0
1,46.0,259.0
3,29.0,170.0
4,22.0,150.0
5,45.0,278.0
6,45.0,161.0
7,24.0,219.0
8,22.0,205.0
9,35.0,278.0
10,23.0,126.0
11,35.0,328.0
12,26.0,90.0
13,38.0,228.0
14,39.0,211.0
15,36.0,460.0
16,20.0,78.0
17,48.0,240.0
18,22.0,136.0
20,41.0,259.0
21,32.0,56.0
22,35.0,169.0
23,38.0,277.0
24,35.0,249.0
25,40.0,193.0
27,22.0,84.0
28,48.0,112.0
31,39.0,175.0
32,44.0,254.0
33,25.0,102.0
34,33.0,275.0
37,41.0,172.0
38,32.0,90.0
39,31.0,242.0
40,26.0,218.0
41,26.0,100.0
43,30.0,84.0
44,39.0,221.0
45,33.0,248.0
46,29.0,91.0
49,23.0,210.0
50,46.0,97.0
51,39.0,100.0
54,15.0,273.0
55,36.0,214.0
56,12.0,67.0
57,26.0,162.0
58,33.0,185.0
59,35.0,382.0
61,49.0,183.0
62,39.0,272.0
63,24.0,363.0
64,18.0,60.0
65,14.0,96.0
66,32.0,243.0
68,43.0,197.0
69,74.0,438.0
70,22.0,212.0
72,24.0,35.0
73,28.0,64.0
74,38.0,305.0
75,19.0,129.0
77,52.0,144.0
78,44.0,170.0
79,16.0,80.0
81,31.0,458.0
82,25.0,273.0
83,40.0,286.0
84,31.0,129.0
85,35.0,58.0
86,16.0,87.0
88,40.0,379.0
89,35.0,135.0
90,40.0,340.0
91,43.0,92.0
92,52.0,213.0
93,18.0,179.0
95,37.0,400.0
96,48.0,96.0
98,30.0,244.0
99,30.0,151.0
100,50.0,200.0
101,40.0,165.0
103,14.0,31.0
104,24.0,26.0
105,20.0,284.0
106,26.0,156.0
107,42.0,104.0
108,50.0,229.0
109,23.0,130.0
110,34.0,120.0
111,20.0,178.0
112,35.0,165.0
113,64.0,513.0
114,25.0,29.0
116,47.0,197.0
117,21.0,47.0
122,25.0,458.0
124,30.0,570.0
125,34.0,99.0
126,27.0,401.0
127,40.0,116.0
128,29.0,214.0
129,15.0,133.0
130,28.0,118.0
131,26.0,185.0
132,46.0,219.0
133,37.0,174.0
134,32.0,160.0
135,33.0,48.0
136,56.0,137.0
137,43.0,378.0
138,16.0,43.0
139,40.0,323.0
140,13.0,221.0
141,41.0,285.0
143,34.0,190.0
144,30.0,110.0
145,33.0,116.0
147,33.0,118.0
148,29.0,195.0
150,21.0,401.0
151,31.0,276.0
152,19.0,143.0
153,46.0,103.0
154,55.0,235.0
155,42.0,321.0
156,44.0,402.0
157,32.0,271.0
158,24.0,162.0
159,22.0,295.0
160,33.0,264.0
161,45.0,320.0
162,48.0,413.0
165,45.0,369.0
166,17.0,52.0
167,18.0,157.0
168,33.0,55.0
169,44.0,318.0
171,37.0,162.0
172,14.0,385.0
173,37.0,67.0
175,43.0,205.0
176,39.0,70.0
177,39.0,305.0
178,36.0,185.0
179,27.0,28.0
180,36.0,130.0
181,23.0,296.0
182,49.0,133.0
183,19.0,45.0
184,43.0,181.0
185,48.0,153.0
186,45.0,275.0
187,61.0,231.0
189,33.0,383.0
190,48.0,167.0
193,40.0,215.0
194,16.0,192.0
196,35.0,84.0
197,36.0,253.0
198,38.0,261.0
199,26.0,228.0
200,33.0,126.0
201,30.0,270.0
202,31.0,227.0
203,41.0,135.0
206,38.0,54.0
207,33.0,111.0
208,52.0,308.0
209,48.0,141.0
210,22.0,165.0
211,12.0,67.0
213,55.0,267.0
216,10.0,134.0
217,28.0,286.0
218,17.0,75.0
219,34.0,58.0
220,35.0,125.0
221,49.0,203.0
222,13.0,103.0
223,32.0,305.0
224,41.0,312.0
225,35.0,133.0
226,64.0,432.0
227,34.0,162.0
228,26.0,307.0
229,33.0,200.0
230,23.0,197.0
233,54.0,109.0
234,25.0,311.0
235,28.0,202.0
